Project ID,Project Name,Client,Start date ,End date ,Total Revenue ,Original SOW Amount ,CR-1,CR-2,CR-3,Status 
2054,Freight Solution Automation,Americhem,27-01-2025,20-06-2025," $25,000.00 "," $10,000.00 "," $15,000.00 ",,,
1909,Helena(HCM),Helena Agri,02-12-2024,08-02-2025," $10,000.00 "," $10,000.00 ", $-   ,,,
1944,Helena(HCM),Helena Agri,25-11-2024,31-08-2025," $74,980.00 "," $10,000.00 "," $64,980.00 ",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
